"TIME","AIRLINE","FLIGHT_NUMBER","TRANSACTION","TERMINAL","GATE","REMARK","data_as_of","data_loaded_at"
"2026/02/26 09:19:00 AM","United","UA262","ARR","3","F16","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/19 12:32:00 AM","United","UA730","DEP","I","G3","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/24 08:00:00 PM","Hawaiian","HA942","ARR","1","B12","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 11:25:00 AM","United","UA626","ARR","3","E7","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/20 03:27:00 PM","JetBlue","B6334","DEP","1","B3","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/24 08:43:00 AM","United","UA5375","DEP","3","F6","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/24 09:25:00 AM","United","UA565","ARR","3","E11","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/18 06:20:00 PM","DELTA","DL442","ARR","1","C3","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/19 09:54:00 AM","JAL","JL58","ARR","I","A11","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/21 10:16:00 PM","Lufthansa","LH459","DEP","I","G8","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/18 09:57:00 PM","United","UA1986","ARR","3","F16","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/18 12:30:00 PM","United","UA626","ARR","3","E11","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/26 08:55:00 AM","United","UA5972","DEP","3","F8","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/24 11:40:00 AM","United","UA2051","DEP","2","D9","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/22 05:08:00 PM","United","UA5578","ARR","3","E2","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 03:17:00 PM","United","UA2037","ARR","3","F12","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/27 07:35:00 AM","United","UA1515","DEP","3","E5","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/26 04:43:00 PM","United","UA5330","DEP","3","E11","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 10:16:00 AM","American","AA1949","DEP","1","B25","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/24 11:03:00 AM","United","UA611","DEP","2","D10","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/17 09:56:00 AM","United","UA2441","ARR","3","F19","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/28 09:52:00 PM","United","UA5282","ARR","3","E3","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/26 09:05:00 PM","DELTA","DL1655","ARR","1","C7","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/28 09:47:00 PM","United","UA301","DEP","2","D9","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/27 08:54:00 PM","Singapore Airlines","SQ33","DEP","I","G9","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/18 05:52:00 PM","United","UA1354","ARR","2","D15","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/28 10:58:00 PM","United","UA1224","ARR","3","F14","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/26 07:01:00 PM","Breeze","MX601","ARR","2","C4","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/18 12:00:00 AM","United","UA917","DEP","I","G6","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/19 08:25:00 PM","United","UA5534","ARR","3","F8","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 05:27:00 PM","United","UA1453","DEP","2","D15","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/28 06:19:00 AM","American","AA402","DEP","1","B26","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/20 07:25:00 PM","United","UA5975","DEP","3","E3","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/26 02:58:00 PM","Alaska","AS227","ARR","1","B13","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 04:12:00 PM","United","UA2231","ARR","3","F13","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/25 01:53:00 PM","United","UA194","DEP","I","G5","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/17 08:53:00 PM","Southwest","WN3514","DEP","2","D3","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/22 08:47:00 AM","Air Canada","AC760","DEP","1","C4","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/18 04:43:00 PM","Alaska","AS1379","ARR","I","B2","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/17 10:57:00 AM","Alaska","AS2493","DEP","1","C1","Departed","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
"2026/02/27 08:45:00 PM","United","UA1272","ARR","I","G11","Arrived","2026/03/01 04:45:01 AM","2026/03/02 10:09:53 AM"
